"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"1119","Nothing","71t06zHcpryGn06TyU2S8C","462ZvTUWG8Kopcw9j4s4Kk","The Impossible Dream - 2021 DigiMIX Remaster",2000,"Mitch Leigh","broadway",272,0.939,0.372,159373,0.34,1.56e-05,3,0.333,-9.04,1,88.535,4,0.358
"1120","Nothing","1fGvGVxAeVkZbezrKnJNVL","462ZvTUWG8Kopcw9j4s4Kk","The Dubbing - 2021 DigiMIX Remaster",2000,"Mitch Leigh","broadway",272,0.765,0.673,49733,0.236,0,2,0.124,-20.62,1,69.542,4,0.353
"1121","Nothing","7nVUfBm8MOfxXfCcPtwfxi","462ZvTUWG8Kopcw9j4s4Kk","Man of La Mancha Part I",2008,"Mitch Leigh","broadway",272,0.91,0.337,147827,0.442,0.155,5,0.334,-10.845,1,130.382,4,0.483
"1122","Nothing","2AYPGvcygFLPZX8sYDxPvr","462ZvTUWG8Kopcw9j4s4Kk","Man of La Mancha Part III",2008,"Mitch Leigh","broadway",272,0.879,0.455,74800,0.536,0.000334,8,0.387,-8.402,1,144.631,3,0.746
"1123","Nothing","6yryeloHc9q4hKyxaceUvI","462ZvTUWG8Kopcw9j4s4Kk","Man of La Mancha Part II",2008,"Mitch Leigh","broadway",272,0.942,0.288,78053,0.142,0.00076,8,0.12,-15.586,1,113.883,3,0.239
"1124","Nothing","6UiEoZr2WPNrtbw4cLKBF2","462ZvTUWG8Kopcw9j4s4Kk","Man of La Mancha Part IV",2008,"Mitch Leigh","broadway",272,0.915,0.221,156613,0.309,0.00904,8,0.71,-12.071,1,86.281,4,0.178
"1125","Nothing","0Kykvvfr9ePJBF2zmh5q7r","29l80PEg44YRkDbCK0U5OB","Bambi - Storyteller Version",2004,"Richard Kiley","vintage broadway",1681,0.899,0.459,3225107,0.197,0.000861,8,0.167,-18.483,1,73.21,4,0.44
"1126","Nothing","217RsQ8R5s4KgtGA7Sbgor","29l80PEg44YRkDbCK0U5OB","The Impossible Dream (The Quest) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.944,0.341,142800,0.397,0.00076,10,0.108,-11.389,1,85.186,3,0.382
"1127","Nothing","787DVdYHm5i0pOZoYOWB6y","29l80PEg44YRkDbCK0U5OB","Man of La Mancha (I, Don Quixote) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.727,0.531,164733,0.339,2.07e-06,2,0.0476,-12.341,0,136.85,3,0.73
"1128","Nothing","3vabosfSw5okb9SXMhbE5e","29l80PEg44YRkDbCK0U5OB","Dulcinea - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.902,0.289,168000,0.243,0,0,0.351,-14.91,1,85.731,4,0.382
"1129","Nothing","45dc3k49GvM906vSlZZizE","29l80PEg44YRkDbCK0U5OB","Stranger in Paradise",1953,"Richard Kiley","vintage broadway",1681,0.973,0.251,247667,0.266,9.58e-05,8,0.0734,-11.838,0,88.288,3,0.129
"1130","Nothing","5u2NMOevS7VlJ0oeq1lK0Y","29l80PEg44YRkDbCK0U5OB","The Sweetest Sounds",1962,"Richard Kiley","vintage broadway",1681,0.864,0.286,302693,0.102,0,5,0.0543,-18.365,1,171.399,4,0.208
"1131","Nothing","4kfSuQnkmNgC7uerw9JRJy","29l80PEg44YRkDbCK0U5OB","Dulcinea, The Impossible Dream (Reprise), Man Of La Mancha (Reprise), The Psalm - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.924,0.371,355627,0.13,1.67e-06,7,0.187,-17.472,1,78.642,4,0.109
"1132","Nothing","096TKQ6w3EP9ALdsI4J9Wa","29l80PEg44YRkDbCK0U5OB","Aldonza - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.777,0.491,211667,0.313,0,10,0.651,-14.457,0,134.379,3,0.722
"1133","Nothing","1EPgwZ55WV2zq9HZAbPA7h","29l80PEg44YRkDbCK0U5OB","Barber's Song / Golden Helmet - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.768,0.473,179400,0.294,0,4,0.126,-13.593,1,100.275,4,0.571
"1134","Nothing","7dJsX9iID6RA0i3qjhftpR","29l80PEg44YRkDbCK0U5OB","The Dubbing (Knight Of The Woeful Countenance) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.811,0.589,121267,0.272,0,9,0.0989,-14.21,1,123.527,4,0.793
"1135","Nothing","6GsbOA2raDKFTKGCkSbot9","6WtWmLPWn1imbcisSfmBvy","Somethin' Stupid",1968,"The Ray Conniff Singers","easy listening",48397,0.736,0.741,148533,0.491,0,5,0.343,-12.47,1,111.318,4,0.966
"1136","Nothing","2A7kNNnZOHLOJ6LW8x13cv","6WtWmLPWn1imbcisSfmBvy","The Way You Look Tonight",2021,"The Ray Conniff Singers","easy listening",48397,0.758,0.622,188680,0.246,0.0799,3,0.0832,-14.601,1,121.627,4,0.623
"1137","Nothing","1IYn7ytdb8byvHKS7S3Cat","6WtWmLPWn1imbcisSfmBvy","Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")",1966,"The Ray Conniff Singers","easy listening",48397,0.867,0.477,148627,0.259,0,7,0.238,-16.096,1,88.59,3,0.374
"1138","Nothing","5ztBd888cOJU19f843qCXe","6WtWmLPWn1imbcisSfmBvy","This Is My Song",2003,"The Ray Conniff Singers","easy listening",48397,0.803,0.503,156667,0.468,0.000865,6,0.0898,-9.982,1,97.635,3,0.65
"1139","Nothing","42uJ8brb7vxlgXD1HeBR8W","6WtWmLPWn1imbcisSfmBvy","Edelweiss",1966,"The Ray Conniff Singers","easy listening",48397,0.862,0,123667,0.176,3e-06,10,0.251,-17.547,1,0,0,0
"1140","Nothing","66ChCf7rdwwMOO7etwiA2F","6WtWmLPWn1imbcisSfmBvy","I'd Like To Teach The World To Sing (In Perfect Harmony)",2004,"The Ray Conniff Singers","easy listening",48397,0.296,0.659,148627,0.581,0,0,0.0909,-11.4,1,119.046,4,0.928
"1141","Nothing","5nvh2WyCumLU5wulffyVK2","6WtWmLPWn1imbcisSfmBvy","The Look Of Love",2003,"The Ray Conniff Singers","easy listening",48397,0.801,0.675,181373,0.542,0.0033,2,0.212,-9.693,0,105.624,4,0.471
"1142","Nothing","4rvAnB1fMlCmkSy5e87Rtb","6WtWmLPWn1imbcisSfmBvy","Song Sung Blue",1972,"The Ray Conniff Singers","easy listening",48397,0.385,0.698,134187,0.327,0.0107,0,0.0846,-14.928,1,126.356,4,0.876
"1143","Nothing","2DmaZOeu9YazJTYnG7Uadv","6WtWmLPWn1imbcisSfmBvy","Red Roses For A Blue lady",1966,"The Ray Conniff Singers","easy listening",48397,0.816,0.685,149067,0.436,7.4e-06,4,0.339,-14.377,0,121.167,3,0.676
"1144","Nothing","7DEqBlmVjZdaV7d7i60kn7","6WtWmLPWn1imbcisSfmBvy","Alone Again (Naturally)",1972,"The Ray Conniff Singers","easy listening",48397,0.153,0.621,177333,0.572,0,5,0.0771,-11.355,1,85.389,4,0.785
"1145","Nothing","6dGnYIeXmHdcikdzNNDMm2","3WrFJ7ztbogyGnTHbHJFl2","Here Comes The Sun - Remastered 2009",1969,"The Beatles","beatlesque",25377946,0.0339,0.557,185733,0.54,0.00248,9,0.179,-10.484,1,129.171,4,0.394
"1146","Nothing","2EqlS6tkEnglzr7tkKAAYD","3WrFJ7ztbogyGnTHbHJFl2","Come Together - Remastered 2009",1969,"The Beatles","beatlesque",25377946,0.0302,0.533,259947,0.376,0.248,9,0.0926,-11.913,0,165.007,4,0.187
"1147","Nothing","7iN1s7xHE4ifF5povM6A48","3WrFJ7ztbogyGnTHbHJFl2","Let It Be - Remastered 2009",1970,"The Beatles","beatlesque",25377946,0.631,0.443,243027,0.403,0,0,0.111,-8.339,1,143.462,4,0.41
"1148","Nothing","3BQHpFgAp4l80e1XslIjNI","3WrFJ7ztbogyGnTHbHJFl2","Yesterday - Remastered 2009",1965,"The Beatles","beatlesque",25377946,0.879,0.332,125667,0.179,0,5,0.0886,-11.83,1,96.529,4,0.315
"1149","Nothing","5ZBeML7Lf3FMEVviTyvi8l","3WrFJ7ztbogyGnTHbHJFl2","Twist And Shout - Remastered 2009",1963,"The Beatles","beatlesque",25377946,0.641,0.482,155227,0.849,7.74e-06,2,0.0414,-9.198,1,124.631,4,0.937
"1150","Nothing","5jgFfDIR6FR0gvlA56Nakr","3WrFJ7ztbogyGnTHbHJFl2","Blackbird - Remastered 2009",1968,"The Beatles","beatlesque",25377946,0.754,0.686,138387,0.127,1.41e-05,7,0.0573,-14.361,1,93.699,4,0.372
"1151","Nothing","3KfbEIOC7YIv90FIfNSZpo","3WrFJ7ztbogyGnTHbHJFl2","In My Life - Remastered 2009",1965,"The Beatles","beatlesque",25377946,0.449,0.688,146333,0.435,0,9,0.113,-11.359,1,103.239,4,0.435
"1152","Nothing","0aym2LBJBk9DAYuHHutrIl","3WrFJ7ztbogyGnTHbHJFl2","Hey Jude - Remastered 2015",2000,"The Beatles","beatlesque",25377946,0.0112,0.386,425653,0.607,1.38e-05,10,0.088,-7.7,1,147.207,4,0.532
"1153","Nothing","4pbG9SUmWIvsROVLF0zF9s","3WrFJ7ztbogyGnTHbHJFl2","I Want To Hold Your Hand - Remastered 2015",2000,"The Beatles","beatlesque",25377946,0.386,0.49,145747,0.715,0,7,0.311,-5.549,1,130.726,4,0.866
"1154","Nothing","0pNeVovbiZHkulpGeOx1Gj","3WrFJ7ztbogyGnTHbHJFl2","Something - Remastered 2009",1969,"The Beatles","beatlesque",25377946,0.198,0.396,182293,0.338,2.62e-06,0,0.138,-10.872,1,133.522,4,0.377
"1155","Nothing","6Ft1cpm9MMoAjyG2iWiDfA","55CCS64lPz88twUDVquU1u","Somewhere In Time",2004,"Roger Williams","easy listening",38050,0.612,0.146,202360,0.135,0.376,0,0.124,-15.346,1,74.188,4,0.052
"1156","Nothing","1qyavWn3bzAb9sYTyErvAQ","55CCS64lPz88twUDVquU1u","Till",1958,"Roger Williams","easy listening",38050,0.935,0.203,185800,0.128,0.0117,2,0.0491,-18.534,1,181.575,4,0.183
"1157","Nothing","4KiRxOVMbGVWQm9o1d62Xr","55CCS64lPz88twUDVquU1u","Autumn Leaves",1957,"Roger Williams","easy listening",38050,0.893,0.286,173083,0.478,0.186,2,0.127,-7.923,0,109.014,4,0.245
"1158","Nothing","0BBOVCgaSdgGs9ClgM6men","55CCS64lPz88twUDVquU1u","The High And The Mighty",1958,"Roger Williams","easy listening",38050,0.902,0.184,161627,0.228,0.118,7,0.19,-12.262,0,85.635,4,0.106
"1159","Nothing","5fxLx196mnCIbi2OV6IplK","55CCS64lPz88twUDVquU1u","Tammy",1958,"Roger Williams","easy listening",38050,0.972,0.386,206227,0.0491,0.851,0,0.104,-17.475,1,67.968,3,0.104
"1160","Nothing","5wfmHBmIVtCHgU8l8gz6Et","55CCS64lPz88twUDVquU1u","Oh My Beloved Daddy - O Mio Babbino Caro",1985,"Roger Williams","easy listening",38050,0.967,0.288,167600,0.0304,0.942,8,0.115,-20.653,1,131.609,4,0.0527
"1161","Nothing","2xj9MflB27lyKVnr8rv655","55CCS64lPz88twUDVquU1u","Fascination",1958,"Roger Williams","easy listening",38050,0.87,0.297,140907,0.131,0.705,7,0.119,-17.856,1,84.404,3,0.104
"1162","Nothing","6M4q5siGdZr55ZWe7RJ5lE","55CCS64lPz88twUDVquU1u","Autumn Leaves",2008,"Roger Williams","easy listening",38050,0.967,0.235,193904,0.253,0.85,2,0.135,-15.677,0,105.118,4,0.162
"1163","Nothing","0aVMdNotlKqTs5eVAomnBw","55CCS64lPz88twUDVquU1u","Near You",1959,"Roger Williams","easy listening",38050,0.678,0.768,167147,0.158,0.69,7,0.0833,-14.752,1,122.817,4,0.545
"1164","Nothing","2vDLWF0RVb7h8OlF2i8F94","55CCS64lPz88twUDVquU1u","Born Free",1966,"Roger Williams","easy listening",38050,0.752,0.602,141500,0.662,2.59e-06,7,0.12,-7.952,0,118.776,4,0.525
"1165","Nothing","2r5seNRSheLITyH4cevy2O","1UUYAQ9LiRsZF0ZukQNWXM","Let The Sunshine In (Reprise) - Remastered 2000",1969,"The 5th Dimension","adult standards",263614,0.0507,0.455,87800,0.783,0.00163,11,0.154,-6.297,0,118.446,4,0.648
"1166","Nothing","0HZlND4giwzgolBpaNIRGV","1UUYAQ9LiRsZF0ZukQNWXM","Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""",1969,"The 5th Dimension","adult standards",263614,0.445,0.293,289293,0.74,0.00152,7,0.0998,-6.098,1,118.225,4,0.514
"1167","Nothing","3JdToGxgvH9SnO1a605Ztr","1UUYAQ9LiRsZF0ZukQNWXM","Up, Up and Away",1967,"The 5th Dimension","adult standards",263614,0.599,0.393,163347,0.362,0,7,0.333,-14.601,0,107.743,5,0.515
"1168","Nothing","0bzNvVatHKKtAudmRvar8J","1UUYAQ9LiRsZF0ZukQNWXM","Wedding Bell Blues - Laura Nyro Cover",1969,"The 5th Dimension","adult standards",263614,0.548,0.482,164600,0.674,0,9,0.135,-5.41,0,118.048,4,0.617
"1169","Nothing","6HH6fmHF2YssfVkRmzcjf0","1UUYAQ9LiRsZF0ZukQNWXM","(Last Night) I Didn't Get To Sleep At All",1972,"The 5th Dimension","adult standards",263614,0.484,0.671,192600,0.497,0.0027,5,0.0893,-12.53,0,105.117,4,0.564
"1170","Nothing","41WWlhyhixPIVs7s8SYdyB","1UUYAQ9LiRsZF0ZukQNWXM","One Less Bell To Answer",1970,"The 5th Dimension","adult standards",263614,0.737,0.398,210760,0.405,4.97e-05,11,0.131,-6.664,0,99.694,3,0.443
"1171","Nothing","6wzGW5DSGdGLUGh97HPq9u","1UUYAQ9LiRsZF0ZukQNWXM","If I Could Reach You",1972,"The 5th Dimension","adult standards",263614,0.922,0.233,190213,0.216,0.0408,10,0.118,-15.737,1,153.566,4,0.155
"1172","Nothing","23OBcAyQonpaJ2XswR0k1I","1UUYAQ9LiRsZF0ZukQNWXM","Stoned Soul Picnic - Remastered 2000",1968,"The 5th Dimension","adult standards",263614,0.369,0.335,208680,0.409,0,4,0.154,-13.812,1,187.779,4,0.796
"1173","Nothing","1LaFDxCO0oQiAFfeg2AJYk","1UUYAQ9LiRsZF0ZukQNWXM","Feelin' Alright? - Traffic Cover",1970,"The 5th Dimension","adult standards",263614,0.499,0.415,266573,0.871,0.000127,2,0.176,-4.137,1,93.489,4,0.839
"1174","Nothing","64Q753xzBo6fsfNHMrczU9","1UUYAQ9LiRsZF0ZukQNWXM","Poor Side Of Town",1967,"The 5th Dimension","adult standards",263614,0.713,0.174,201200,0.144,0.00198,0,0.237,-15.657,1,84.95,4,0.103
"1175","Nothing","3spdoTYpuCpmq19tuD0bOe","1Mxqyy3pSjf8kZZL4QVxS0","My Way",1969,"Frank Sinatra","adult standards",6304287,0.7,0.401,276800,0.381,0,2,0.122,-7.458,1,75.454,4,0.229
"1176","Nothing","5b7OgznPJJr1vHNYGyvxau","1Mxqyy3pSjf8kZZL4QVxS0","Fly Me To The Moon (In Other Words)",1962,"Frank Sinatra","adult standards",6304287,0.453,0.668,147000,0.26,0,7,0.0621,-14.256,1,119.416,4,0.368
"1177","Nothing","4feXcsElKIVsGwkbnTHAfV","1Mxqyy3pSjf8kZZL4QVxS0","Somethin' Stupid",1967,"Frank Sinatra","adult standards",6304287,0.736,0.257,162493,0.338,0,4,0.252,-12.902,1,207.356,4,0.544
"1178","Nothing","62KZRwymXq9Rgm8Cm5UCfx","1Mxqyy3pSjf8kZZL4QVxS0","The World We Knew (Over And Over)",1967,"Frank Sinatra","adult standards",6304287,0.755,0.337,167053,0.419,3.43e-05,10,0.156,-12.212,0,92.815,3,0.492
"1179","Nothing","4FmCUATNIarCQh72JYdvnm","1Mxqyy3pSjf8kZZL4QVxS0","That's Life",1966,"Frank Sinatra","adult standards",6304287,0.55,0.56,187040,0.434,0,4,0.346,-14.151,0,112.803,3,0.664
"1180","Nothing","74VR3AkGPhbYXnxcOYa16x","1Mxqyy3pSjf8kZZL4QVxS0","Strangers In The Night",1966,"Frank Sinatra","adult standards",6304287,0.592,0.259,157867,0.473,0,5,0.201,-8.275,1,90.348,4,0.539
"1181","Nothing","0elmUoU7eMPwZX1Mw1MnQo","1Mxqyy3pSjf8kZZL4QVxS0","The Way You Look Tonight",1964,"Frank Sinatra","adult standards",6304287,0.798,0.622,202160,0.24,0,5,0.142,-14.067,0,132.234,4,0.587
"1182","Nothing","3aEJMh1cXKEjgh52claxQp","1Mxqyy3pSjf8kZZL4QVxS0","I've Got You Under My Skin - Remastered 1998",1956,"Frank Sinatra","adult standards",6304287,0.452,0.585,223760,0.247,8.85e-06,1,0.107,-12.612,1,127.15,4,0.591
"1183","Nothing","0K2WjMLZYr09LKwurGRYRE","1Mxqyy3pSjf8kZZL4QVxS0","Theme From New York, New York - 2008 Remastered",2008,"Frank Sinatra","adult standards",6304287,0.587,0.312,204907,0.497,0,2,0.246,-6.95,1,94.311,4,0.546
"1184","Nothing","4hHbeIIKO5Y5uLyIEbY9Gn","1Mxqyy3pSjf8kZZL4QVxS0","Come Fly With Me - Remastered 1998",1958,"Frank Sinatra","adult standards",6304287,0.845,0.574,199093,0.338,0,6,0.165,-11.376,1,67.008,4,0.493
"1185","Nothing","4feXcsElKIVsGwkbnTHAfV","3IZrrNonYELubLPJmqOci2","Somethin' Stupid",1967,"Nancy Sinatra","lounge",402519,0.736,0.257,162493,0.338,0,4,0.252,-12.902,1,207.356,4,0.544
"1186","Nothing","2HEgBBls7l0smWTxPx0MtZ","3IZrrNonYELubLPJmqOci2","These Boots Are Made for Walkin'",2021,"Nancy Sinatra","lounge",402519,0.395,0.628,166133,0.42,2.55e-06,9,0.104,-10.547,1,165.304,4,0.337
"1187","Nothing","4JLcAU2xY90qTkTSNM1lUa","3IZrrNonYELubLPJmqOci2","Bang Bang (My Baby Shot Me Down)",1966,"Nancy Sinatra","lounge",402519,0.982,0.433,162447,0.174,0.101,5,0.111,-18.791,0,95.802,4,0.366
"1188","Nothing","4HnfKU07uxAcQDdlI5skEj","3IZrrNonYELubLPJmqOci2","Summer Wine",2006,"Nancy Sinatra","lounge",402519,0.594,0.464,223747,0.647,4.49e-06,9,0.12,-7.126,0,141.05,4,0.535
"1189","Nothing","0AWN35e76cvPxAUms8SojX","3IZrrNonYELubLPJmqOci2","Sugar Town",2006,"Nancy Sinatra","lounge",402519,0.664,0.727,146469,0.382,0,7,0.076,-11.786,1,108.213,4,0.62
"1190","Nothing","36EKCiUoj6onFAU6dQ6A1c","3IZrrNonYELubLPJmqOci2","Some Velvet Morning",2021,"Nancy Sinatra","lounge",402519,0.826,0.293,220000,0.375,1.83e-05,1,0.161,-12.44,0,123.079,3,0.29
"1191","Nothing","18y85RXNwPsaqTwKPfTqZI","3IZrrNonYELubLPJmqOci2","You Only Live Twice - From ""Retrospective: The Music Of Mad Men"" Soundtrack",2015,"Nancy Sinatra","lounge",402519,0.135,0.194,165453,0.427,8.37e-05,11,0.0865,-9.511,1,90.612,4,0.33
"1192","Nothing","7e3RGqZ2FkFmcInDdgfJze","3IZrrNonYELubLPJmqOci2","You Only Live Twice",2006,"Nancy Sinatra","lounge",402519,0.705,0.256,178840,0.536,0,0,0.1,-6.308,1,88.981,4,0.422
"1193","Nothing","4he8EPUaFt6OjBrOx4hQ8i","3IZrrNonYELubLPJmqOci2","Lady Bird",2021,"Nancy Sinatra","lounge",402519,0.514,0.356,183853,0.517,4.73e-06,6,0.074,-11.318,0,130.352,4,0.684
"1194","Nothing","5jNebt0cMoykK9b4YCt6nX","3IZrrNonYELubLPJmqOci2","Tonight You Belong To Me",2005,"Nancy Sinatra","lounge",402519,0.739,0.665,105200,0.693,0,7,0.109,-5.213,0,117.293,4,0.964
"1195","Nothing","5wgdwPk6YxSeqG98kKJWiD","4E9w0bms6HcEppFlWjeW2d","Gentle On My Mind",1968,"Bobbie Gentry","",61185,0.511,0.614,190707,0.509,0,5,0.113,-12.19,0,112.697,4,0.81
"1196","Nothing","4FdDorlbJTVHcH3djLbIfn","4E9w0bms6HcEppFlWjeW2d","Ode To Billie Joe",1967,"Bobbie Gentry","",61185,0.721,0.637,255002,0.189,0,7,0.0939,-10.726,1,120.142,4,0.695
"1197","Nothing","12WuKGCKkpFyPGEmASnWQg","4E9w0bms6HcEppFlWjeW2d","Seasons Come, Seasons Go",1969,"Bobbie Gentry","",61185,0.615,0.587,170388,0.286,6.84e-05,7,0.0655,-16.489,1,103.643,4,0.372
"1198","Nothing","6aarvZBVzYo3sp4NYOBqCp","4E9w0bms6HcEppFlWjeW2d","Fancy",1970,"Bobbie Gentry","",61185,0.502,0.618,258913,0.243,0,4,0.102,-19.003,0,104.373,4,0.556
"1199","Nothing","3b5WqX1GT3yzV45ye3fu4H","4E9w0bms6HcEppFlWjeW2d","Son Of A Preacher Man",1969,"Bobbie Gentry","",61185,0.459,0.582,127167,0.473,0,9,0.0839,-13.323,1,93.802,4,0.9
"1200","Nothing","3FUGhktHS6iEAReiDwXuqm","4E9w0bms6HcEppFlWjeW2d","All I Have To Do Is Dream",2018,"Bobbie Gentry","",61185,0.122,0.427,151933,0.338,0.0562,3,0.0601,-12.244,1,95.133,4,0.603
"1201","Nothing","0NZ3GjGqW2uN2RDESh9Pv4","4E9w0bms6HcEppFlWjeW2d","Little Green Apples",1968,"Bobbie Gentry","",61185,0.429,0.419,196347,0.226,0.00231,2,0.162,-16.61,1,95.822,4,0.416
"1202","Nothing","2gMxsK1P5PF65J6q4rsCYl","4E9w0bms6HcEppFlWjeW2d","He Made A Woman Out Of Me",1970,"Bobbie Gentry","",61185,0.325,0.58,157970,0.347,1.57e-06,0,0.061,-16.842,0,156.288,4,0.825
"1203","Nothing","0DGEsyoeTeEtlcZj1gGIPX","4E9w0bms6HcEppFlWjeW2d","I'll Never Fall In Love Again",1969,"Bobbie Gentry","",61185,0.276,0.601,175800,0.425,0.000127,2,0.12,-13.368,1,114.948,4,0.58
"1204","Nothing","2b6KKNkD9PiUPvRYOdhbQ6","4E9w0bms6HcEppFlWjeW2d","Courtyard",1968,"Bobbie Gentry","",61185,0.85,0.352,181003,0.125,0.000214,2,0.118,-14.618,1,79.676,3,0.279
"1205","Nothing","40BvPdq2rwYIoioUgjKHoK","1iBpJEBrSFXCtPOc5OUZiY","My Cup Runneth Over",2001,"Ed Ames","easy listening",11619,0.801,0.344,164827,0.365,0.000509,7,0.0712,-9.628,1,100.79,3,0.359
"1206","Nothing","50k18e6iLGFZwCetbR295N","1iBpJEBrSFXCtPOc5OUZiY","Bon Soir Dame",1967,"Ed Ames","easy listening",11619,0.75,0.291,169000,0.409,1.3e-06,2,0.115,-10.5,1,201.658,4,0.773
"1207","Nothing","7skXVFIQNnTNwBhhCYMKbn","1iBpJEBrSFXCtPOc5OUZiY","Try To Remember",2001,"Ed Ames","easy listening",11619,0.893,0.247,239640,0.358,8.48e-06,5,0.0947,-9.724,1,83.361,4,0.168
"1208","Nothing","5prAkp4Oa1PDDAMqQabI3g","1iBpJEBrSFXCtPOc5OUZiY","My Cup Runneth Over (From the Musical Production ""I Do, I Do"")",1967,"Ed Ames","easy listening",11619,0.864,0.33,164467,0.337,0.000449,7,0.0918,-11.172,1,100.863,3,0.328
"1209","Nothing","38yxhtbsQxft2KdOSEHhY9","1iBpJEBrSFXCtPOc5OUZiY","True Love",1967,"Ed Ames","easy listening",11619,0.953,0.262,175133,0.147,0.0236,6,0.121,-18.387,1,118.292,1,0.0559
"1210","Nothing","2xsUpln58zvbVm55SCBnw7","1iBpJEBrSFXCtPOc5OUZiY","Let's Get Away from It All",2008,"Ed Ames","easy listening",11619,0.885,0.61,151076,0.238,0,1,0.164,-13.055,1,131.011,4,0.589
"1211","Nothing","5WOfxDEsK9FLq1hoSZqo6m","1iBpJEBrSFXCtPOc5OUZiY","When The Snow Is On The Roses",2001,"Ed Ames","easy listening",11619,0.324,0.237,156800,0.386,5.37e-06,7,0.0652,-8.774,1,109.046,4,0.233
"1212","Nothing","68p77ao0HPqGBwbDDOzOKd","1iBpJEBrSFXCtPOc5OUZiY","Edelweiss (From ""The Sound of Music"")",1967,"Ed Ames","easy listening",11619,0.91,0.168,143960,0.268,0.000111,8,0.115,-13.326,1,91.696,3,0.213
"1213","Nothing","3IZms5Z3qlgQPL0VfK2BQk","1iBpJEBrSFXCtPOc5OUZiY","They Call the Wind Maria",1965,"Ed Ames","easy listening",11619,0.807,0.419,176987,0.614,0,4,0.119,-9.835,0,136.396,4,0.484
"1214","Nothing","5cdT6AKqyw9xU7RznnpUKr","1iBpJEBrSFXCtPOc5OUZiY","The Impossible Dream (from ""Man of La Mancha"")",2014,"Ed Ames","easy listening",11619,0.885,0.266,156080,0.405,0.0117,8,0.101,-12.008,1,102.176,3,0.357
"1215","Nothing","7kv7zBjMtVf0eIJle2VZxn","59hLmB5DrdihCYtNeFeW1U","Southern Nights",1977,"Glen Campbell","adult standards",421153,0.0989,0.697,180027,0.813,0.0232,11,0.583,-8.89,0,95.301,4,0.85
"1216","Nothing","0VwTeYNjcl30DyQlt3GPe0","59hLmB5DrdihCYtNeFeW1U","Rhinestone Cowboy",1975,"Glen Campbell","adult standards",421153,0.102,0.644,194453,0.633,6.82e-05,0,0.227,-8.006,1,115.193,4,0.647
"1217","Nothing","6V9VCm1zOY2lGR80RehJ9i","59hLmB5DrdihCYtNeFeW1U","Wichita Lineman - Remastered 2001",1968,"Glen Campbell","adult standards",421153,0.326,0.192,186200,0.392,0.000199,5,0.248,-11.667,1,172.312,4,0.391
"1218","Nothing","0mLoTgCB8oU0sJGojRtvDu","59hLmB5DrdihCYtNeFeW1U","Gentle On My Mind - Remastered 2001",1967,"Glen Campbell","adult standards",421153,0.189,0.597,178627,0.415,0,3,0.123,-13.799,1,108.987,4,0.826
"1219","Nothing","1tZKsxgKebVQX9s6oiojG9","59hLmB5DrdihCYtNeFeW1U","By The Time I Get To Phoenix - Remastered 2001",1967,"Glen Campbell","adult standards",421153,0.0743,0.218,164200,0.336,1.61e-06,5,0.134,-12.997,1,176.66,4,0.232
"1220","Nothing","7GCNh1ibQiae8aimaEUOFq","59hLmB5DrdihCYtNeFeW1U","Galveston - Remastered 2001",1969,"Glen Campbell","adult standards",421153,0.202,0.526,161067,0.52,0.000329,5,0.156,-8.918,1,118.404,4,0.675
"1221","Nothing","4AMoWKnElhuJniqKP0UFDh","59hLmB5DrdihCYtNeFeW1U","(Sittin' On) The Dock Of The Bay - Remastered 2001",1968,"Glen Campbell","adult standards",421153,0.583,0.68,152960,0.454,3.29e-05,2,0.0793,-10.972,1,110.36,4,0.693
"1222","Nothing","2eot2orcEQn5wR11DSVcbO","59hLmB5DrdihCYtNeFeW1U","It's Only Make Believe",1970,"Glen Campbell","adult standards",421153,0.191,0.448,147480,0.558,0.000735,0,0.276,-5.482,1,112.742,3,0.537
"1223","Nothing","0YPlreSsGywd4duXIRZK5u","59hLmB5DrdihCYtNeFeW1U","Yesterday, When I Was Young",1974,"Glen Campbell","adult standards",421153,0.365,0.379,223493,0.486,0,2,0.0932,-7.367,0,82.71,4,0.331
"1224","Nothing","2VYF84ZzEofEYYg0cCxETc","59hLmB5DrdihCYtNeFeW1U","Try A Little Kindness",1970,"Glen Campbell","adult standards",421153,0.31,0.323,146293,0.666,0,4,0.163,-5.925,1,176.455,4,0.734
